wave,county_fips,county_pop,share_mobile_any,share_anywless_t6,share_anywless_t7,share_anywless_t8,source,share_mobile_t6,share_mobile_t7,share_mobile_t7_vzw,mobile_t7_any,mobile_any_any
2011-06,08089,18914.0,0.9976,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08091,4583.0,0.9884,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08093,16122.0,0.8561,0.0121,0.0,0.0,analyze_table,,,,,
2011-06,08095,4447.0,0.9994,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08097,17423.0,0.9502,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08099,12518.0,0.9935,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08101,161852.0,0.9938,0.8054,0.0,0.0,analyze_table,,,,,
2011-06,08103,6859.0,0.4364,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08105,12035.0,0.9865,0.6732,0.0,0.0,analyze_table,,,,,
2011-06,08107,24060.0,0.9417,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08109,6184.0,0.9405,0.4166,0.0,0.0,analyze_table,,,,,
2011-06,08111,674.0,0.9577,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08113,7378.0,0.9171,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08115,2326.0,0.9987,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08117,28276.0,0.9726,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08119,23273.0,0.9497,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08121,4726.0,0.9606,0.5892,0.0,0.0,analyze_table,,,,,
2011-06,08123,259749.0,0.9978,0.8922,0.0,0.0,analyze_table,,,,,
2011-06,08125,10086.0,0.9751,0.7621,0.0,0.0,analyze_table,,,,,
2011-06,09001,918957.0,0.9935,0.9135,0.9135,0.0,analyze_table,,,,,
2011-06,09003,897610.0,0.9991,0.884,0.874,0.0,analyze_table,,,,,
2011-06,09005,189188.0,0.9663,0.511,0.291,0.0,analyze_table,,,,,
2011-06,09007,165843.0,0.9999,0.6024,0.5897,0.0,analyze_table,,,,,
2011-06,09009,864262.0,0.9987,0.949,0.9486,0.0,analyze_table,,,,,
2011-06,09011,272781.0,0.9981,0.5525,0.2365,0.0,analyze_table,,,,,
2011-06,09013,152610.0,0.9991,0.5142,0.5097,0.0,analyze_table,,,,,
2011-06,09015,119266.0,0.9955,0.055,0.055,0.0,analyze_table,,,,,
2011-06,10001,167048.0,0.999,0.0006,0.0,0.0,analyze_table,,,,,
2011-06,10003,541539.0,0.9941,0.891,0.7301,0.0,analyze_table,,,,,
2011-06,10005,201578.0,0.9931,0.0,0.0,0.0,analyze_table,,,,,
2011-06,11001,605669.0,1.0,1.0,0.9744,0.0,analyze_table,,,,,
